Order_ID,Order_Date,Month,Quarter,Year,Week_Number,Region,City,Product_Category,Product_Name,Units_Sold,Unit_Price,Discount_Percentage,Sales_Amount,Marketing_Spend,Stock_Available,Reorder_Level,Previous_Month_Sales,Forecasted_Sales,Actual_Sales,Forecast_Error_Percentage,Demand_Level,Stock_Risk,Season
ORD100019,25-02-2024,February,Q1,2024,8,North,Delhi,Fashion,Jacket,397,4500,16.01,1500481.35,19322,1118,100,1315376.01,1407928.68,1511370.57,7.35,Medium Demand,Overstocked,Spring
ORD100020,23-05-2024,May,Q2,2024,21,West,Bangalore,Home Appliances,Refrigerator,305,35000,17.49,8807942.5,14880,1915,100,9893159.39,9350550.95,9435009.68,0.9,Medium Demand,Overstocked,Summer
ORD100021,10-04-2024,April,Q2,2024,15,North,Jaipur,Electronics,Laptop,292,60000,3.33,16936584,68653,2071,100,14997326.84,15966955.42,16601376.12,3.97,Medium Demand,Overstocked,Summer
ORD100022,01-03-2024,March,Q1,2024,9,South,Kolkata,Electronics,Printer,321,12000,18.53,3138224.4,64638,1268,100,3041576.49,3089900.45,3425257.48,10.85,Medium Demand,Overstocked,Spring
ORD100023,23-07-2025,July,Q3,2025,30,West,Bangalore,Furniture,Desk,272,15000,19.37,3289704,80914,2320,100,2711976.15,3000840.08,3167067,5.54,Medium Demand,Overstocked,Monsoon
ORD100024,21-02-2024,February,Q1,2024,8,Central,Chennai,Office Supplies,Paper Ream,211,350,1.14,73008.11,71562,428,100,83268.45,78138.28,66707.82,14.63,Medium Demand,Healthy Stock,Spring
ORD100025,10-03-2024,March,Q1,2024,10,South,Kolkata,Electronics,Mobile,642,25000,11.89,14141655,86183,435,100,13684737.65,13913196.32,14378307.93,3.34,High Demand,Stockout Risk,Spring
ORD100026,19-06-2025,June,Q2,2025,25,East,Ahmedabad,Furniture,Bookshelf,371,10000,4.77,3533033,56876,636,100,3775667.89,3654350.45,3391709.62,7.19,Medium Demand,Healthy Stock,Summer
ORD100027,19-11-2024,November,Q4,2024,47,North,Delhi,Fashion,Jacket,876,4500,1.47,3884052.6,32938,2172,100,3519263.02,3701657.81,4220613.04,14.02,High Demand,Overstocked,Festive
ORD100028,11-03-2024,March,Q1,2024,11,South,Pune,Home Appliances,Microwave,498,9000,16.67,3734850.6,97214,1339,100,3901690.51,3818270.55,4098799.14,7.35,Medium Demand,Overstocked,Spring
ORD100029,31-10-2025,October,Q4,2025,44,Central,Delhi,Office Supplies,Pen Set,216,500,2.69,105094.8,20129,538,100,115285.49,110190.15,97852.67,11.2,Medium Demand,Overstocked,Festive
ORD100030,15-10-2024,October,Q4,2024,42,Central,Hyderabad,Home Appliances,Microwave,963,9000,10.11,7790766.3,37914,308,100,6520243.36,7155504.83,7671685.64,7.21,High Demand,Stockout Risk,Festive
ORD100031,10-10-2024,October,Q4,2024,41,North,Delhi,Home Appliances,Microwave,405,9000,8.84,3322782,97493,1851,100,3403734.09,3363258.04,3064850.3,8.87,Medium Demand,Overstocked,Festive
ORD100032,08-12-2025,December,Q4,2025,50,South,Jaipur,Electronics,Tablet,646,18000,11.05,10343106,61333,622,100,8447540.93,9395323.46,10063121.26,7.11,High Demand,Healthy Stock,Winter
ORD100033,10-02-2024,February,Q1,2024,6,East,Hyderabad,Furniture,Bookshelf,155,10000,7.07,1440415,78385,1764,100,1713423.78,1576919.39,1512285.26,4.1,Low Demand,Overstocked,Spring
ORD100034,30-08-2024,August,Q3,2024,35,South,Bangalore,Fashion,Shoes,233,3000,14.73,596037.3,48540,1786,100,668094.67,632065.99,639436.45,1.17,Medium Demand,Overstocked,Monsoon
ORD100035,11-09-2024,September,Q3,2024,37,East,Bangalore,Electronics,Printer,89,12000,17.17,884624.4,34154,917,100,996648.49,940636.45,877601.05,6.7,Low Demand,Overstocked,Monsoon
ORD100036,08-11-2024,November,Q4,2024,45,South,Hyderabad,Electronics,Mobile,595,25000,17.29,12303112.5,41585,1538,100,12999378.8,12651245.65,12056258.88,4.7,High Demand,Overstocked,Festive
ORD100037,03-07-2025,July,Q3,2025,27,East,Delhi,Electronics,Tablet,232,18000,11.61,3691166.4,39795,256,100,3112985.86,3402076.13,3642859.19,7.08,Medium Demand,Healthy Stock,Monsoon
ORD100038,17-11-2024,November,Q4,2024,46,West,Lucknow,Office Supplies,Notebook,614,200,3.8,118133.6,10817,1886,100,94586.8,106360.2,128188.55,20.52,High Demand,Overstocked,Festive
ORD100039,05-07-2025,July,Q3,2025,27,South,Pune,Fashion,Shoes,388,3000,12.46,1018965.6,91951,610,100,1108534.41,1063750,978272.65,8.04,Medium Demand,Healthy Stock,Monsoon
ORD100040,12-11-2024,November,Q4,2024,46,West,Pune,Fashion,Jacket,469,4500,3.84,2029456.8,92153,1652,100,2173400.44,2101428.62,2192952.09,4.36,Medium Demand,Overstocked,Festive
ORD100041,22-09-2025,September,Q3,2025,39,Central,Ahmedabad,Fashion,Jacket,50,4500,6.08,211320,32549,1860,100,235474.62,223397.31,215827.94,3.39,Low Demand,Overstocked,Monsoon
ORD100042,25-11-2024,November,Q4,2024,48,West,Chennai,Fashion,Jacket,355,4500,15.87,1343976.75,27241,447,100,1227742.33,1285859.54,1388019.9,7.94,Medium Demand,Healthy Stock,Festive
ORD100043,26-09-2025,September,Q3,2025,39,East,Mumbai,Furniture,Bookshelf,367,10000,4.49,3505217,31100,703,100,2838420.11,3171818.55,3326340.55,4.87,Medium Demand,Overstocked,Monsoon
ORD100044,01-05-2025,May,Q2,2025,18,Central,Mumbai,Fashion,T-Shirt,694,1200,11.51,736944.72,99155,1672,100,735287.23,736115.97,699210.86,5.01,High Demand,Overstocked,Summer
ORD100045,02-11-2025,November,Q4,2025,44,North,Mumbai,Fashion,Shoes,315,3000,13.92,813456,65889,305,100,832134.84,822795.42,881374.7,7.12,Medium Demand,Healthy Stock,Festive
ORD100046,04-05-2024,May,Q2,2024,18,West,Bangalore,Fashion,Jacket,593,4500,19.76,2141204.4,83047,1399,100,2526655.12,2333929.76,2308828.98,1.08,High Demand,Overstocked,Summer
ORD100047,19-09-2025,September,Q3,2025,38,Central,Kolkata,Office Supplies,Pen Set,212,500,14.87,90237.8,67216,1943,100,81545.79,85891.79,85676.09,0.25,Medium Demand,Overstocked,Monsoon
ORD100048,14-10-2025,October,Q4,2025,42,East,Jaipur,Fashion,Jacket,379,4500,1.55,1679064.75,42450,1060,100,1525742.7,1602403.73,1618520.89,1.01,Medium Demand,Overstocked,Festive
ORD100049,07-07-2025,July,Q3,2025,28,North,Bangalore,Furniture,Office Chair,442,8000,13.88,3045203.2,97591,976,100,2514398.52,2779800.86,2988927.46,7.52,Medium Demand,Overstocked,Monsoon
ORD100050,09-07-2025,July,Q3,2025,28,West,Kolkata,Electronics,Mobile,480,25000,7.79,11065200,81556,180,100,12644124.51,11854662.25,11652971.42,1.7,Medium Demand,Stockout Risk,Monsoon
ORD100051,24-01-2025,January,Q1,2025,4,West,Delhi,Home Appliances,Refrigerator,449,35000,17.07,13032449.5,59921,2304,100,14322743.68,13677596.59,13152692.9,3.84,Medium Demand,Overstocked,Winter
ORD100052,09-09-2025,September,Q3,2025,37,South,Chennai,Furniture,Desk,496,15000,9.71,6717576,55968,1476,100,7171344.55,6944460.28,7118134.74,2.5,Medium Demand,Overstocked,Monsoon
ORD100053,18-06-2024,June,Q2,2024,25,West,Bangalore,Office Supplies,Paper Ream,77,350,18.14,22061.27,82580,2411,100,23499.66,22780.47,20225.54,11.22,Low Demand,Overstocked,Summer
ORD100054,14-03-2025,March,Q1,2025,11,South,Chennai,Furniture,Office Chair,316,8000,7.58,2336377.6,32742,1962,100,2174556.17,2255466.88,2458443.85,9,Medium Demand,Overstocked,Spring
ORD100055,23-01-2025,January,Q1,2025,4,East,Kolkata,Home Appliances,Microwave,531,9000,0.39,4760361.9,75702,313,100,5712258.77,5236310.33,4617513.29,11.82,High Demand,Stockout Risk,Winter
ORD100056,27-10-2025,October,Q4,2025,44,North,Delhi,Electronics,Mobile,349,25000,12.43,7640482.5,36266,617,100,7559680,7600081.25,7051232.36,7.22,Medium Demand,Overstocked,Festive
ORD100057,11-08-2024,August,Q3,2024,32,West,Ahmedabad,Home Appliances,Microwave,670,9000,12.14,5297958,99156,569,100,5886649.9,5592303.95,4941687.08,11.63,High Demand,Stockout Risk,Monsoon
ORD100058,14-11-2024,November,Q4,2024,46,North,Lucknow,Electronics,Tablet,863,18000,19.16,12557685.6,56990,912,100,10427884.43,11492785.02,13036420.78,13.43,High Demand,Healthy Stock,Festive
ORD100059,04-10-2025,October,Q4,2025,40,South,Mumbai,Home Appliances,Air Conditioner,910,45000,15.92,34430760,79177,268,100,32326403.81,33378581.91,33937560.11,1.67,High Demand,Stockout Risk,Festive
ORD100060,14-01-2025,January,Q1,2025,3,North,Jaipur,Home Appliances,Microwave,480,9000,16.45,3609360,18833,1875,100,4274619.29,3941989.65,3707235.09,5.96,Medium Demand,Overstocked,Winter
ORD100061,15-04-2025,April,Q2,2025,16,South,Kolkata,Furniture,Bookshelf,584,10000,19.31,4712296,40400,2304,100,5229972.72,4971134.36,4679190.96,5.87,High Demand,Overstocked,Summer
ORD100062,29-08-2025,August,Q3,2025,35,East,Pune,Furniture,Office Chair,335,8000,17.63,2207516,36963,2003,100,2269193.68,2238354.84,2281771.75,1.94,Medium Demand,Overstocked,Monsoon
ORD100063,10-12-2024,December,Q4,2024,50,North,Chennai,Home Appliances,Microwave,549,9000,4.24,4731501.6,38862,1494,100,4314483.11,4522992.36,4822493.11,6.62,High Demand,Overstocked,Winter
ORD100064,09-10-2024,October,Q4,2024,41,Central,Delhi,Office Supplies,Notebook,176,200,8.13,32338.24,77768,1084,100,34803.83,33571.04,33281.89,0.86,Low Demand,Overstocked,Festive
ORD100065,17-05-2025,May,Q2,2025,20,West,Delhi,Electronics,Tablet,276,18000,8.09,4566088.8,36890,1354,100,4865551.21,4715820,4446475.95,5.71,Medium Demand,Overstocked,Summer
ORD100066,20-07-2025,July,Q3,2025,29,Central,Pune,Fashion,Jacket,613,4500,6.62,2575887.3,97124,1958,100,2339849.91,2457868.6,2447816.08,0.41,High Demand,Overstocked,Monsoon
ORD100067,03-05-2024,May,Q2,2024,18,South,Pune,Electronics,Mobile,246,25000,4.33,5883705,68464,1232,100,6412261.76,6147983.38,6444548.02,4.82,Medium Demand,Overstocked,Summer
ORD100068,21-06-2025,June,Q2,2025,25,Central,Ahmedabad,Electronics,Mobile,353,25000,4.55,8423462.5,28519,1338,100,6786441.3,7604951.9,8480969.63,11.52,Medium Demand,Overstocked,Summer
ORD100069,07-10-2024,October,Q4,2024,41,North,Delhi,Office Supplies,Pen Set,240,500,15.06,101928,18446,150,100,104947.69,103437.85,101304.14,2.06,Medium Demand,Stockout Risk,Festive
ORD100070,27-03-2025,March,Q1,2025,13,East,Bangalore,Electronics,Tablet,539,18000,2.28,9480794.4,13564,1741,100,9449494.73,9465144.57,9626838.75,1.71,High Demand,Overstocked,Spring
ORD100071,03-12-2025,December,Q4,2025,49,North,Bangalore,Furniture,Bookshelf,361,10000,1.7,3548630,37530,585,100,3631061.89,3589845.95,3489136.52,2.81,Medium Demand,Healthy Stock,Winter
ORD100072,02-09-2025,September,Q3,2025,36,Central,Hyderabad,Office Supplies,Pen Set,511,500,18.17,209075.65,43974,1856,100,192799.55,200937.6,214136.42,6.57,High Demand,Overstocked,Monsoon
ORD100073,16-09-2025,September,Q3,2025,38,North,Hyderabad,Furniture,Desk,133,15000,3.14,1932357,27782,2360,100,1603906.45,1768131.73,1740155.39,1.58,Low Demand,Overstocked,Monsoon
ORD100074,06-04-2025,April,Q2,2025,14,Central,Chennai,Home Appliances,Microwave,287,9000,5.76,2434219.2,42056,1959,100,2016682.22,2225450.71,2304438.22,3.55,Medium Demand,Overstocked,Summer
ORD100075,27-09-2024,September,Q3,2024,39,Central,Hyderabad,Fashion,Shoes,607,3000,4.5,1739055,24528,1188,100,1966266.82,1852660.91,1589986.63,14.18,High Demand,Healthy Stock,Monsoon
ORD100076,18-06-2024,June,Q2,2024,25,East,Lucknow,Office Supplies,Pen Set,499,500,2.49,243287.45,95266,1345,100,262724.53,253005.99,264826.96,4.67,Medium Demand,Overstocked,Summer
ORD100077,27-05-2025,May,Q2,2025,22,Central,Chennai,Fashion,Shoes,662,3000,0.8,1970112,61626,1420,100,2051843,2010977.5,1783292.15,11.32,High Demand,Overstocked,Summer
ORD100078,22-08-2024,August,Q3,2024,34,Central,Lucknow,Electronics,Tablet,640,18000,0.8,11427840,27962,2027,100,11514526.3,11471183.15,11295801.38,1.53,High Demand,Overstocked,Monsoon
ORD100079,11-10-2024,October,Q4,2024,41,South,Lucknow,Fashion,Jacket,771,4500,9.4,3143367,58523,1465,100,2918375.17,3030871.08,2894789.47,4.49,High Demand,Overstocked,Festive
ORD100080,13-06-2024,June,Q2,2024,24,East,Kolkata,Fashion,T-Shirt,460,1200,16.27,462189.6,77102,250,100,453838,458013.8,445043.95,2.83,Medium Demand,Stockout Risk,Summer
ORD100081,27-11-2024,November,Q4,2024,48,North,Kolkata,Office Supplies,Notebook,798,200,1.08,157876.32,72952,1581,100,165620.71,161748.52,157828.74,2.42,High Demand,Healthy Stock,Festive
ORD100082,28-03-2025,March,Q1,2025,13,North,Hyderabad,Home Appliances,Air Conditioner,184,45000,18.55,6744060,62424,2085,100,5722809.92,6233434.96,7382246.1,18.43,Low Demand,Overstocked,Spring
ORD100083,15-09-2025,September,Q3,2025,38,South,Bangalore,Home Appliances,Air Conditioner,64,45000,11.05,2561760,17217,1020,100,3066177.86,2813968.93,2773325.45,1.44,Low Demand,Overstocked,Monsoon
ORD100084,17-04-2025,April,Q2,2025,16,North,Bangalore,Fashion,Jacket,348,4500,10.18,1406581.2,40838,1801,100,1594907.76,1500744.48,1541681.81,2.73,Medium Demand,Overstocked,Summer
ORD100085,06-09-2024,September,Q3,2024,36,West,Jaipur,Furniture,Desk,245,15000,18.44,2997330,71616,659,100,3433773.54,3215551.77,2863197.93,10.96,Medium Demand,Overstocked,Monsoon
ORD100086,28-02-2025,February,Q1,2025,9,East,Jaipur,Home Appliances,Microwave,339,9000,14.52,2607994.8,81931,2475,100,3128448.68,2868221.74,2602591.22,9.26,Medium Demand,Overstocked,Spring
ORD100087,01-06-2024,June,Q2,2024,22,West,Jaipur,Fashion,T-Shirt,390,1200,11.04,416332.8,76228,1645,100,408896.2,412614.5,401492.81,2.7,Medium Demand,Overstocked,Summer
ORD100088,12-07-2024,July,Q3,2024,28,South,Lucknow,Fashion,Shoes,470,3000,0.87,1397733,66993,1661,100,1334040.41,1365886.71,1443491.66,5.68,Medium Demand,Overstocked,Monsoon
ORD100089,29-10-2025,October,Q4,2025,44,South,Chennai,Electronics,Mobile,786,25000,6.64,18345240,18154,1903,100,15407886.01,16876563,19851170.22,17.63,High Demand,Overstocked,Festive
ORD100090,16-01-2024,January,Q1,2024,3,South,Kolkata,Furniture,Office Chair,530,8000,15.63,3577288,39737,1486,100,3753661.75,3665474.88,3503941.66,4.41,High Demand,Overstocked,Winter
ORD100091,23-03-2024,March,Q1,2024,12,East,Jaipur,Fashion,T-Shirt,691,1200,14.37,710043.96,68956,2316,100,578231.14,644137.55,648755.91,0.72,High Demand,Overstocked,Spring
ORD100092,08-10-2025,October,Q4,2025,41,East,Hyderabad,Electronics,Printer,204,12000,14.08,2103321.6,18173,1917,100,1822624.74,1962973.17,2018964.14,2.85,Medium Demand,Overstocked,Festive
ORD100093,30-01-2024,January,Q1,2024,5,North,Pune,Electronics,Tablet,417,18000,7.5,6943050,24080,1100,100,7029605.72,6986327.86,7034598.37,0.69,Medium Demand,Overstocked,Winter
ORD100094,03-07-2024,July,Q3,2024,27,South,Bangalore,Electronics,Printer,684,12000,13.66,7086787.2,70230,2488,100,6075127.69,6580957.45,7031722.74,6.85,High Demand,Overstocked,Monsoon
ORD100095,17-09-2024,September,Q3,2024,38,West,Ahmedabad,Electronics,Printer,344,12000,13.55,3568656,25706,402,100,3485477.46,3527066.73,3458431.37,1.95,Medium Demand,Healthy Stock,Monsoon
ORD100096,24-08-2025,August,Q3,2025,34,East,Kolkata,Home Appliances,Refrigerator,359,35000,3.98,12064913,55422,2079,100,10166635.36,11115774.18,11778647.11,5.96,Medium Demand,Overstocked,Monsoon
ORD100097,02-01-2025,January,Q1,2025,1,Central,Ahmedabad,Home Appliances,Microwave,455,9000,5.49,3870184.5,79177,300,100,4505849.85,4188017.17,4059956.79,3.06,Medium Demand,Stockout Risk,Winter
ORD100098,20-10-2024,October,Q4,2024,42,South,Lucknow,Home Appliances,Microwave,327,9000,13.56,2543929.2,99493,660,100,2674430.84,2609180.02,2749175.29,5.37,Medium Demand,Overstocked,Festive
ORD100099,23-10-2025,October,Q4,2025,43,North,Ahmedabad,Fashion,Shoes,838,3000,2.63,2447881.8,43680,1438,100,2690203.36,2569042.58,2289082.85,10.9,High Demand,Healthy Stock,Festive
ORD100100,15-05-2024,May,Q2,2024,20,Central,Pune,Office Supplies,Paper Ream,329,350,16.61,96023.58,38681,2073,100,113975.54,104999.56,92089.33,12.3,Medium Demand,Overstocked,Summer
ORD100101,12-12-2024,December,Q4,2024,50,North,Chennai,Electronics,Mobile,281,25000,17.2,5816700,99924,1727,100,6903887.18,6360293.59,6171038.99,2.98,Medium Demand,Overstocked,Winter
ORD100102,09-01-2025,January,Q1,2025,2,North,Kolkata,Electronics,Tablet,599,18000,2.47,10515684.6,53311,1173,100,10871367.5,10693526.05,11193772.33,4.68,High Demand,Healthy Stock,Winter
ORD100103,15-01-2025,January,Q1,2025,3,North,Hyderabad,Fashion,Shoes,684,3000,17.68,1689206.4,78584,1443,100,1969787.58,1829496.99,1595072.74,12.81,High Demand,Overstocked,Winter
ORD100104,05-03-2024,March,Q1,2024,10,West,Ahmedabad,Fashion,Shoes,193,3000,0.91,573731.1,9877,1346,100,687542.68,630636.89,529682.38,16.01,Low Demand,Overstocked,Spring
ORD100105,28-08-2024,August,Q3,2024,35,Central,Bangalore,Fashion,T-Shirt,429,1200,13.41,445765.32,96289,2312,100,431345.12,438555.22,467364.34,6.57,Medium Demand,Overstocked,Monsoon
ORD100106,07-06-2024,June,Q2,2024,23,West,Mumbai,Fashion,Jacket,467,4500,18.78,1706838.3,41666,234,100,1836749.63,1771793.96,1610323.31,9.11,Medium Demand,Stockout Risk,Summer
ORD100107,31-03-2025,March,Q1,2025,14,South,Pune,Electronics,Tablet,607,18000,18.03,8956042.2,89518,1569,100,7381749.42,8168895.81,8554599.15,4.72,High Demand,Overstocked,Spring
ORD100108,05-05-2024,May,Q2,2024,18,West,Mumbai,Furniture,Bookshelf,661,10000,19.42,5326338,11629,1466,100,4780002.51,5053170.25,4927846.84,2.48,High Demand,Overstocked,Summer
ORD100109,01-08-2025,August,Q3,2025,31,South,Mumbai,Office Supplies,Notebook,650,200,4.32,124384,35539,1445,100,138034.82,131209.41,131564.53,0.27,High Demand,Overstocked,Monsoon
ORD100110,02-09-2025,September,Q3,2025,36,North,Ahmedabad,Furniture,Office Chair,603,8000,5.01,4582317.6,27871,550,100,4877524.51,4729921.05,4147712.41,12.31,High Demand,Stockout Risk,Monsoon
ORD100111,16-01-2024,January,Q1,2024,3,East,Hyderabad,Office Supplies,Pen Set,66,500,3.48,31851.6,11868,619,100,34931.24,33391.42,32017.77,4.11,Low Demand,Overstocked,Winter
ORD100112,06-03-2024,March,Q1,2024,10,West,Chennai,Home Appliances,Air Conditioner,657,45000,2.18,28920483,71039,1007,100,34073137.21,31496810.11,26279262.26,16.57,High Demand,Healthy Stock,Spring
ORD100113,05-11-2025,November,Q4,2025,45,Central,Ahmedabad,Fashion,Jacket,101,4500,9.58,410958.9,57640,1846,100,441550.27,426254.59,410159.08,3.78,Low Demand,Overstocked,Festive
ORD100114,30-03-2025,March,Q1,2025,13,North,Mumbai,Home Appliances,Air Conditioner,201,45000,1.31,8926510.5,41046,2497,100,9099172.19,9012841.34,8614413.7,4.42,Medium Demand,Overstocked,Spring
ORD100115,03-09-2025,September,Q3,2025,36,Central,Ahmedabad,Fashion,Jacket,669,4500,8.6,2751597,96983,568,100,3139894.38,2945745.69,2834649.37,3.77,High Demand,Stockout Risk,Monsoon
ORD100116,18-07-2025,July,Q3,2025,29,South,Kolkata,Fashion,Shoes,473,3000,6.78,1322791.8,64441,1733,100,1278340.52,1300566.16,1215668.37,6.53,Medium Demand,Overstocked,Monsoon
ORD100117,13-03-2025,March,Q1,2025,11,East,Ahmedabad,Home Appliances,Microwave,535,9000,1.34,4750479,16188,481,100,4621031.33,4685755.17,4982861.95,6.34,High Demand,Stockout Risk,Spring
ORD100118,16-01-2025,January,Q1,2025,3,South,Jaipur,Electronics,Tablet,175,18000,8.22,2891070,92207,1832,100,3316742.07,3103906.04,3018890.38,2.74,Low Demand,Overstocked,Winter
ORD100119,21-10-2024,October,Q4,2024,43,Central,Ahmedabad,Home Appliances,Microwave,850,9000,3.09,7413615,68201,1018,100,8443439.81,7928527.41,7191375.57,9.3,High Demand,Healthy Stock,Festive
ORD100120,23-07-2025,July,Q3,2025,30,East,Mumbai,Home Appliances,Air Conditioner,281,45000,16.14,10604097,78526,2380,100,8594636.87,9599366.93,11514107.29,19.95,Medium Demand,Overstocked,Monsoon
ORD100121,11-12-2025,December,Q4,2025,50,East,Delhi,Furniture,Desk,366,15000,18.43,4478193,51009,125,100,3907502.04,4192847.52,4158675.26,0.82,Medium Demand,Stockout Risk,Winter
ORD100122,04-11-2025,November,Q4,2025,45,West,Mumbai,Furniture,Bookshelf,974,10000,1.84,9560784,74531,981,100,9087312.58,9324048.29,9472147.48,1.59,High Demand,Healthy Stock,Festive
ORD100123,10-06-2024,June,Q2,2024,24,East,Ahmedabad,Home Appliances,Air Conditioner,800,45000,1.05,35622000,25632,303,100,38100845.36,36861422.68,33998369.5,7.77,High Demand,Stockout Risk,Summer
ORD100124,08-11-2025,November,Q4,2025,45,West,Chennai,Office Supplies,Pen Set,611,500,15.1,259369.5,19918,1513,100,252098.19,255733.85,248125.65,2.98,High Demand,Overstocked,Festive
ORD100125,25-11-2025,November,Q4,2025,48,Central,Chennai,Office Supplies,Paper Ream,458,350,7.91,147620.27,83554,324,100,118550.12,133085.2,141757.36,6.52,Medium Demand,Stockout Risk,Festive
ORD100126,04-08-2024,August,Q3,2024,31,South,Ahmedabad,Home Appliances,Refrigerator,172,35000,0.15,6010970,61446,819,100,5119388.55,5565179.28,6050140.3,8.71,Low Demand,Overstocked,Monsoon
ORD100127,23-08-2024,August,Q3,2024,34,Central,Jaipur,Home Appliances,Microwave,456,9000,17.24,3396470.4,10544,1886,100,2742638.35,3069554.38,3682563.55,19.97,Medium Demand,Overstocked,Monsoon
ORD100128,16-11-2024,November,Q4,2024,46,Central,Kolkata,Office Supplies,Pen Set,616,500,8.1,283052,47568,803,100,317167.94,300109.97,289739.12,3.46,High Demand,Healthy Stock,Festive
ORD100129,07-12-2025,December,Q4,2025,49,East,Mumbai,Fashion,Shoes,299,3000,8.71,818871.3,57487,2246,100,680857.78,749864.54,879553.66,17.3,Medium Demand,Overstocked,Winter
ORD100130,13-12-2024,December,Q4,2024,50,South,Pune,Furniture,Office Chair,572,8000,12.66,3996678.4,74547,2188,100,3507331.02,3752004.71,4217477.48,12.41,High Demand,Overstocked,Winter
ORD100131,25-12-2024,December,Q4,2024,52,South,Hyderabad,Electronics,Mobile,312,25000,3.95,7491900,83957,726,100,8271702.79,7881801.39,7724911.59,1.99,Medium Demand,Overstocked,Winter
